user_id,order
23,12
7,12
2,21
206,12
20,21
16,12
207,12
10,12
6,12
22,12
1,12
208,12
114,21
209,21
25,12
34,21
32,21
4,12
12,21
29,12
0,21
14,21
106,12
41,21
11,12
109,12
118,21
43,21
126,12
73,12
210,12
21,12
19,12
5,12
9,21
62,21
211,21
3,12
26,21
17,12
8,12
212,21
24,12
77,12
26,12
48,21
30,12
40,21
33,21
13,12
72,21
42,12
8,21
101,21
213,12
15,21
214,12
121,12
31,12
46,21
215,12
39,21
52,12
216,21
217,21
27,21
28,12
38,12
45,21
18,12
80,21
218,21
94,21
219,21
112,21
220,21
95,21
47,21
221,12
57,21
36,12
222,12
71,12
223,12
99,21
61,21
76,21
54,12
37,12
144,12
182,21
37,21
224,21
35,21
97,21
93,21
65,21
69,21
138,21
53,21
84,21
78,21
225,12
44,12
51,12
119,12
68,21
64,12
162,21
226,21
49,21
150,21
110,12
227,12
83,12
228,12
172,21
107,12
82,12
105,21
124,12
66,21
96,21
229,12
60,21
56,12
230,12
63,12
58,12
184,21
67,12
50,12
98,12
178,21
207,21
87,12
59,12
231,21
86,21
74,21
75,21
232,21
111,12
79,12
55,21
85,12
127,12
104,21
157,12
70,21
116,21
92,21
90,21
147,12
89,12
88,21
230,21
125,12
91,12
233,12
141,12
146,21
156,12
137,21
123,12
139,12
191,12
151,21
102,12
100,12
187,21
108,21
219,12
133,12
115,21
145,21
140,21
120,21
142,21
149,12
136,21
113,12
130,12
117,12
128,12
173,12
175,12
148,12
132,21
122,21
167,12
163,12
99,12
143,21
131,12
168,21
169,21
180,12
160,12
154,21
176,12
135,12
129,12
234,12
158,12
134,12
155,21
152,21
159,21
235,21
185,12
236,21
166,12
237,12
170,21
153,21
164,21
165,12
183,21
238,21
174,12
239,21
181,21
179,21
177,21
193,21
190,21
187,12
240,21
186,12
189,12
195,12
196,12
188,12
193,12
194,12
192,12
189,21
241,21
197,12
198,21
199,12
200,12
201,21
242,12
203,21
202,21
205,21
204,21
225,21
